timestamp,intel_avail,intel_mode,nvidia_avail,nvidia_mode,desktop_screens
2026-09-21 17:12:28,8,none,3,3840x1600@143,1
2026-09-21 17:13:03,8,none,3,3840x1600@143,1
2026-09-21 17:13:35,8,none,3,3840x1600@143,1
2026-09-21 17:14:07,8,none,3,3840x1600@143,1
2026-09-21 17:14:39,8,none,3,3840x1600@143,1
2026-09-21 17:15:11,8,none,3,3840x1600@143,1
2026-09-21 17:15:43,8,none,3,3840x1600@143,1
2026-09-21 17:16:15,8,none,3,3840x1600@143,1
2026-09-21 17:16:46,8,none,3,3840x1600@143,1
2026-09-21 17:17:17,8,none,3,3840x1600@143,1
2026-09-21 17:17:48,8,none,3,3840x1600@143,1
2026-09-21 17:18:18,8,none,3,3840x1600@143,1
2026-09-21 17:18:49,8,none,3,3840x1600@143,1
2026-09-21 17:19:19,8,none,3,3840x1600@143,1
2026-09-21 17:19:50,8,none,3,3840x1600@143,1
2026-09-21 17:20:20,8,none,3,3840x1600@143,1
2026-09-21 17:20:51,8,none,3,3840x1600@143,1
2026-09-21 17:21:21,8,none,3,3840x1600@143,1
2026-09-21 17:21:52,8,none,3,3840x1600@143,1
2026-09-21 17:22:24,8,none,3,3840x1600@143,1
2026-09-21 17:22:54,8,none,3,3840x1600@143,1
2026-09-21 17:23:24,8,none,3,3840x1600@143,1
2026-09-21 17:23:55,8,none,3,3840x1600@143,1
2026-09-21 17:24:25,8,none,3,3840x1600@143,1
2026-09-21 17:24:56,8,none,3,3840x1600@143,1
2026-09-21 17:25:26,8,none,3,3840x1600@143,1
2026-09-21 17:25:56,8,none,3,3840x1600@143,1
2026-09-21 17:26:26,8,none,3,3840x1600@143,1
2026-09-21 17:26:57,8,none,3,3840x1600@143,1
2026-09-21 17:27:27,8,none,3,3840x1600@143,1
2026-09-21 17:27:58,8,none,3,3840x1600@143,1
2026-09-21 17:28:28,8,none,3,3840x1600@143,1
2026-09-21 17:28:58,8,none,3,3840x1600@143,1
2026-09-21 17:29:29,8,none,3,3840x1600@143,1
2026-09-21 17:29:59,8,none,3,3840x1600@143,1
2026-09-21 17:30:29,8,none,3,3840x1600@143,1
2026-09-21 17:30:59,8,none,3,3840x1600@143,1
2026-09-21 17:31:29,8,none,3,3840x1600@143,1
2026-09-21 17:32:00,8,none,3,3840x1600@143,1
2026-09-21 17:32:30,8,none,3,3840x1600@143,1
2026-09-21 17:33:00,8,none,3,3840x1600@143,1
2026-09-21 17:33:31,8,none,3,3840x1600@143,1
2026-09-21 17:34:01,8,none,3,3840x1600@143,1
2026-09-21 17:34:32,8,none,3,3840x1600@143,1
2026-09-21 17:35:02,8,none,3,3840x1600@143,1
2026-09-21 17:35:33,8,none,3,3840x1600@143,1
2026-09-21 17:36:03,8,none,3,3840x1600@143,1
2026-09-21 17:36:34,8,none,3,3840x1600@143,1
2026-09-21 17:37:04,8,none,3,3840x1600@143,1
2026-09-21 17:37:35,8,none,3,3840x1600@143,1
2026-09-21 17:38:06,8,none,3,3840x1600@143,1
2026-09-21 17:38:36,8,none,3,3840x1600@143,1
2026-09-21 17:39:06,8,none,3,3840x1600@143,1
2026-09-21 17:39:37,8,none,3,3840x1600@143,1
2026-09-21 17:40:07,8,none,3,3840x1600@143,1
2026-09-21 17:40:37,8,none,3,3840x1600@143,1
2026-09-21 17:41:08,8,none,3,3840x1600@143,1
2026-09-21 17:41:38,8,none,3,3840x1600@143,1
2026-09-21 17:42:08,8,none,3,3840x1600@143,1
2026-09-21 17:42:38,8,none,3,3840x1600@143,1
2026-09-21 17:43:09,8,none,3,3840x1600@143,1
2026-09-21 17:43:40,8,none,3,3840x1600@143,1
2026-09-21 17:44:10,8,none,3,3840x1600@143,1
2026-09-21 17:44:40,8,none,3,3840x1600@143,1
2026-09-21 17:45:11,8,none,3,3840x1600@143,1
2026-09-21 17:45:41,8,none,3,3840x1600@143,1
2026-09-21 17:46:11,8,none,3,3840x1600@143,1
2026-09-21 17:46:42,8,none,3,3840x1600@143,1
2026-09-21 17:47:13,8,none,3,3840x1600@143,1
2026-09-21 17:47:45,8,none,3,3840x1600@143,1
2026-09-21 17:48:17,8,none,3,3840x1600@143,1
2026-09-21 17:48:48,8,none,3,3840x1600@143,1
2026-09-21 17:49:20,8,none,3,3840x1600@143,1
2026-09-21 17:49:53,8,none,3,3840x1600@143,1
2026-09-21 17:50:26,8,none,3,3840x1600@143,1
2026-09-21 17:50:58,8,none,3,3840x1600@143,1
2026-09-21 17:51:30,8,none,3,3840x1600@143,1
2026-09-21 17:52:03,8,none,3,3840x1600@143,1
2026-09-21 17:52:34,8,none,3,3840x1600@143,1
2026-09-21 17:53:07,8,none,3,3840x1600@143,1
2026-09-21 17:53:38,8,none,3,3840x1600@143,1
2026-09-21 17:54:10,8,none,3,3840x1600@143,1
2026-09-21 17:54:42,8,none,3,3840x1600@143,1
2026-09-21 17:55:14,3,1920x1080@144,3,3840x1600@143,1
2026-09-21 17:55:48,3,1920x1080@144,3,3840x1600@143,1
2026-09-21 17:56:21,3,1920x1080@144,3,3840x1600@143,1
2026-09-21 17:56:55,3,1920x1080@144,3,3840x1600@143,1
2026-09-21 17:57:28,3,1920x1080@144,3,3840x1600@143,1
2026-09-21 17:58:04,3,1920x1080@144,3,3840x1600@143,1
2026-09-21 17:58:40,3,1920x1080@144,3,3840x1600@143,1
2026-09-21 17:59:14,3,1920x1080@144,3,3840x1600@143,1
